Название,Артикул,Цена,Нравится,Гарантия,Описание
Сотовый телефон Google Pixel 9 256GB кремовый,140693, 90820,0,Гарантия:,"

Основные характеристики
Тип: смартфон
Год выпуска: 2024

Сети
Поддержка сетей: GSM 5G
Поддержка сим-карт: nano-SIM + eSIM

Конструкция
Материал передней панели: Gorilla Glass Victus 2
Материал тыльной панели: Gorilla Glass Victus 2
Материал рамки: алюминий 
Класс защищенности: IP68
Размеры: 152.8 x 72 x 8.5 мм
Вес: 198 г

Экран
Экран: 6.3"" OLED 2424x1080
Частота обновления кадров: 120 Гц
Значение пиковой яркости: 2700 нит
Защита экрана: Gorilla Glass Victus 2

Платформа
Операционная система: Android 14
Чипсет: Google Tensor G4 (4 nm)
Видеоконтроллер: Mali-G715 MC7

Память
Объем установленной памяти: 12/256 Гб
Тип накопительной памяти: UFS 3.1
Поддержка карт памяти: нет

Основной блок камер
50 mpх, F/1.7, dual pixel PDAF, OIS
48 mpх, F/1.7, ультраширокий угол, dual pixel PDAF
Особенности: однозонный лазерный автофокус, светодиодная вспышка, Ultra-HDR, панорама

Запись видео на основной блок камер
Поддержка записи видео 4K: 24/30/60 fps
Поддержка записи видео 1080p: 24/30/60/120/240 fps
Особенности: gyro-EIS, OIS, 10-bit HDR

Фронтальная камера
10.5 mpх, F/2.2, PDAF
Особенности: Auto-HDR, panorama

Запись видео на фронтальную камеру
Поддержка записи видео 4K: 30/60 fps
Поддержка записи видео 1080p: 30/60 fps

Звук
Режим вывода звука: стерео
Поддержка 3.5 мм аудио входа: нет

Коммуникативные возможности
Поддержка Wi-Fi: 802.11 a/b/g/n/ac/6e/7, tri-band
Поддержка Bluetooth: 5.3, A2DP, LE, aptX HD
Поддержка геопозиционирования: GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC
Поддержка NFC: есть
Поддержка USB: USB Type-C 3.2
Поддержка радио: нет

Аккумулятор
Тип: литий-ионный, несъемный
Емкость аккумулятора: 4700 мАч
Мощность проводной зарядки: 27 Вт
Мощность беспроводной зарядки: 12 Вт
Беспроводная реверсивная зарядка: есть
                            "
Сотовый телефон Apple iPhone 16 Pro 256GB золотистый,140357, 117610,2,Гарантия:,"

Основные характеристики
Тип: смартфон
Год выпуска: 2024

Сети
Поддержка сетей: GSM 5G
Поддержка сим-карт для глобальной версии: nano-SIM + eSIM
Поддержка сим-карт версии для США: Dual eSIM
Поддержка сим-карт версии для Китая: Dual SIM

Конструкция
Материал передней панели: стекло
Материал тыльной панели: стекло
Материал рамки: титан 
Класс защищенности: IP68
Размеры: 149.6 x 71.5 x 8.25 мм
Вес: 199 г

Экран
Экран: 6.3"" Super Retina XDR OLED 2622х1206
Значение пиковой яркости: 2000 нит
Плотность пикселей: 460 ppi
Защита экрана: Ceramic Shield glass

Платформа
Модель чипсета: Apple A18 Pro
Количество ядер: 6 (2 производительных + 4 энергоэффективных)
Количество ядер графического процессора: 6
Количество ядер Neural Engine: 16
Операционная система: iOS 18
Объем установленной памяти: 256 Гб
Поддержка карт памяти: нет

Основной блок камер
48 mpх, F/1.8, dual pixel PDAF, OIS на основе сдвига матрицы
12 mpх, F/2.8, 120mm periscope telephoto, dual pixel PDAF, 3D sensor-shift OIS, 5x оптический зум
48 mpх, F/2.2, PDAF
Датчик глубины: TOF 3D LiDAR
Поддержка записи видео 4K: 24/25/30/60/100/120 fps
Поддержка записи видео 1080p: 25/30/60/120/240 fps

Фронтальная камера
12 mpх, F/1.9, PDAF, OIS
Поддержка записи видео 4K: 24/25/30/60 fps
Поддержка записи видео 1080p: 25/30/60/120 fps
Оптическая стабилизация: gyro-EIS

Звук
Режим вывода звука: стерео
Поддержка 3.5 мм аудио входа: нет

Коммуникативные возможности
Поддержка Wi-Fi: 802.11 a/b/g/n/ac/6/7, dual-band, hotspot
Поддержка Bluetooth: 5.3, A2DP, LE
Поддержка геопозиционирования: GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC
Поддержка NFC: есть
Поддержка USB: USB Type-C 3.2 Gen 2

Аккумулятор
Тип: литий-ионный, несъемный
Мощность беспроводной зарядки MagSafe: 25 Вт
Мощность беспроводной зарядки Qi2: 15 Вт
Мощность беспроводной реверсивной зарядки: 4.5 Вт

Время автономной работы
В режиме воспроизведения видео: до 27 часов
В режиме воспроизведения видео-стриминга: до 22 часов
В режиме воспроизведения аудио: до 85 часов
                            "
Сотовый телефон Samsung Galaxy S24 Ultra 12/256GB серый,132121, 94510,5,Гарантия:,"

Основные характеристики
Тип: смартфон
Год выпуска: 2024

Сети
Поддержка сетей: GSM 5G
Поддержка сим-карт: Nano-SIM and eSIM/Dual eSIM или Hybrid Dual-SIM

Конструкция
Материал передней панели: стекло 
Материал тыльной панели: стекло 
Материал рамки: титан
Размеры: 162.3 х 79 х 8.6 мм
Вес: 232 г

Экран
Экран: 6.8"" Dynamic LTPO AMOLED 2X 2340x1080
Частота обновления кадров: 120 Гц
Соотношение сторон: 19.5:9
Плотность пикселей: 505 ppi
Защита экрана: Corning Gorilla Glass Armor

Платформа
Операционная система: Android 14
Чипсет: Qualcomm Snapdragon 8 Gen3
Видеоконтроллер: Adreno 750

Память
Объем установленной памяти: 12/256 Гб
Стандарт памяти: UFS 4.0
Поддержка карт памяти: нет

Основной блок камер
200 mpх, F/1.7, multi-directional PDAF, Laser AF, OIS, основная камера
50 mpх, F/3.4, PDAF, OIS, 5x optical zoom, перископический телеобъектив
10 mpх, F/2.4, Dual Pixel PDAF, OIS, 3x optical zoom, телеобъектив
12 mpx, F/2.2, Dual Pixel PDAF, широкоугольный объектив
Поддержка записи видео 8K: 24/30 fps
Поддержка записи видео 4K:  fps
Поддержка записи видео 1080p: /960 fps
Стабилизация видео при съемке: gyro-EIS

Фронтальная камера
12 mpх, F/2.2, Dual Pixel PDAF
Поддержка записи видео 4K: 30/60 fps
Поддержка записи видео 1080p: 30 fps

Звук
Режим вывода звука: стерео 
Поддержка 3.5 мм аудио входа: нет

Коммуникативные возможности
Поддержка Wi-Fi: 802.11 ac/6e/7
Поддержка Bluetooth: 5.3
Поддержка геопозиционирования: GPS, GLONASS, GALILEO, BDS, QZSS
Поддержка USB: USB Type-C 3.2
Поддержка NFC: есть 

Аккумулятор
Емкость аккумулятора: 5000 мАч
Поддержка проводной быстрой зарядки: 45 Вт
Поддержка беспроводной быстрой зарядки: 15 Вт
Поддержка реверсивной зарядки: 4.5 Вт
                            "
Сотовый телефон Xiaomi Redmi Note 13 Pro 12/256GB зеленый,142075, 21090,0,Гарантия:,"

Основные характеристики
Тип: смартфон
Год выпуска: 2024

Сети
Поддержка сетей: GSM 4G
Поддержка сим-карт: Dual-SIM

Конструкция
Материал передней панели: стекло 
Материал тыльной панели: пластик
Материал рамки: пластик
Класс защищенности: IP54
Размеры: 161.1 х 75 х 8 мм
Вес: 188 г

Экран
Экран: 6.67"" AMOLED 2400x1080
Частота обновления кадров: 120 Гц
Соотношение сторон: 20:9
Плотность пикселей: 395 ppi
Защита экрана: Corning Gorilla Glass 5

Платформа
Операционная система: Android 13
Чипсет: Mediatek Helio G99 Ultra
Видеоконтроллер: Mali-G57 MC2

Память
Объем установленной памяти: 12/256 Гб
Стандарт накопителя: UFS 2.2
Поддержка карт памяти: microSDXC

Основной блок камер
200 mpх, F/1.7, PDAF, OIS, основная камера
8 mpх, F/2.2, широкоугольная камера
2 mpх, F/2.4, датчик макросъемки
Поддержка записи видео 1080p: 30/60 fps

Фронтальная камера
16 mpх, F/2.4
Поддержка записи видео 1080p: 30/60 fps

Звук
Количество динамиков: 2  
Поддержка 3.5 мм аудио входа: есть

Коммуникативные возможности
Поддержка Wi-Fi: 802.11 ac
Поддержка Bluetooth: 5.2
Поддержка геопозиционирования: GPS, GLONASS, GALILEO, BDS
Поддержка USB: USB Type-C 2.0

Аккумулятор
Емкость аккумулятора: 5000 мАч
Поддержка проводной быстрой зарядки: 67 Вт
                            "
Ноутбук Apple MacBook Pro 14.2 Apple M3 Max 36/1024GB Silver,134860, 293210,0,Гарантия: 12 месяцев,"

Основные характеристики
Тип: ноутбук
Операционная система: Mac OS Sonoma

Экран
Диагональ экрана: 14.2""
Тип матрицы: Liquid Retina XDR
Разрешение экрана: 3024 х 1964

Процессор
Процессор: Apple M3 Max
Количество ядер: 14
Количество ядер Neural Engine: 16

Память
Объем оперативной памяти: 36 GB
Объем накопителя: 1TB SSD

Видеокарта
Видеоконтроллер: Apple M3 GPU
Количество ядер графического процессора: 30
Объем видеопамяти: SMA

Сетевые интерфейсы
Поддержка стандарта wi-fi: 802.11 ax
Поддержка Bluetooth: версия 5.3
Поддержка Ethernet: нет  

Устройства управления
Устройство позиционирования: Force Touch
Подсветка клавиатуры: есть  

Интерфейсы
3 x Thunderbolt 4
1 x HDMI
1 x SDXC
1 x Magsafe 3
1 x Audio 3.5 mm

Питание
Тип аккумулятора: литий-полимерный 
Емкость аккумулятора: 72.4 ВтЧ
Мощность блока питания: 96 Вт

Размеры
Размеры: 312.6 х 221.2 х 15.5 мм
Вес: от 1.62 кг
                            "
Ноутбук Lenovo V15 Intel Celeron N4020 4GB DDR 120GB SSD HD DOS Gray,110698, 18540,0,Гарантия: 12 месяцев,"

Основные характеристики
Тип: ноутбук
Операционная система: DOS

Процессор
Процессор: Intel Celeron N4020
Частота: 1100-2800 МГц
Количество ядер: 2
Количество потоков: 2
Объем кэша: 4 Мб

Экран
Диагональ экрана: 15.6""
Разрешение экрана: 1366 x 768 HD

Видеокарта
Графический контроллер: Intel HD Graphics 620
Объем видеопамяти: SMA

Оперативная память
Объем оперативной памяти: 4 GB DDR4

Накопители
Тип накопителя: SSD
Объем накопителя SSD: 120 GB
Оптический привод: нет

Сетевые интерфейсы
Поддержка WiFi: есть
Поддержка Bluetooth: есть

Устройства управления
Устройство позиционирования: TouchPad
Подсветка клавиатуры: нет

Интерфейсы
2 x USB 2.0
1 х USB 3.0 
1 x HDMI
1 x Audio/Mic
1 x Cardreader

Питание 
Тип аккумулятора: литий-ионный
Емкость аккумулятора: 35 ВтЧ

Размеры
Размеры: 362 x 251 x 20 мм
Вес: от 1.85 кг
                            "
МФУ Canon i-Sensys MF3010,106807, 21930,16,Гарантия: 12 месяцев,"

Основные характеристики
Тип: мультифункциональное устройство
Функции: принтер / сканер / копир
Цвет: черный

Принтер
Технология печати: лазерная
Максимальный формат: А4
Цветность печати: монохромная
Разрешение: 1200 х 600 dpi
Ресурс картриджа: 1600 страниц
Двусторонняя печать: нет

Сканер
Тип сканера: планшетный
Максимальный формат: А4
Глубина цвета: 24 бит
Разрешение: 1200 х 600 dpi
Стандарты: TWAIN, WIA

Копир
Максимальный формат: А4
Разрешение: 600 х 600 dpi
Скорость копирования: 18 стр/мин
Масштабирование: 50 - 200%

Интерфейсы
Поддержка Wi-Fi: нет
Поддержка Bluetooth: нет
Поддержка USB: есть

Габаритные размеры
Размеры: 372 х 254 х 276 мм
Вес: 8.2 кг
                            "
Процессор Intel Core i5-12400F LGA1700 tray,104958, 9460,16,Гарантия:,"

Основные характеристики
Модель: Intel Core i5-12400F
Сокет: LGA1700
Комплектация: tray

Производительность
Суммарное количество ядер: 6
Количество потоков: 12
Количество производительных ядер: 6
Количество энергоэфективных ядер: 0
Объем кэш-памяти: 18 Мб

Тактовая частота
Максимальная тактовая частота в режиме Turbo: 4400 МГц
Максимальная тактовая частота производительных ядер: 4400 МГц
Базовая тактовая частота производительных ядер: 2500 МГц

Спецификации памяти
Максимальный объем памяти: 128 GB
Типы памяти: DDR4-3200 / DDR5-4800
Количество каналов памяти: 2
Пропускная способность памяти: 76.8 GB/s

Дополнительно
Редакция PCI-Express: 4.0 / 5.0
Поддерживаемое количество линий: 20
Базовое значение TDP: 65W
Значение TDP в турборежиме: 117W
                            "
Смарт-часы Samsung Galaxy Watch Ultra Titanium Gray,141844, 46560,0,Гарантия:,"

Основные характеристики
Тип: смарт-часы
Год выпуска: 2024

Конструкция
Материал передней панели: стекло Sapphire Crystal
Материал рамки: титан 
Стандарт защиты: MIL-STD-810H
Класс водонепроницаемости: IP68
Размеры: 47.4 x 47.4 x 12.1 мм
Вес: 60.5 г

Экран
Экран: 1.5"" Super AMOLED 480x480
Плотность пикселей: 327 ppi 
Функция Always-on display: есть

Платформа
Операционная система: Wear OS 5, One UI Watch 6
Чипсет: Samsung Exynos W1000 (3 nm)
Количество ядер процессора: 5
Видеоконтроллер: Mali-G68

Память
Объем установленной памяти: 2/32 Гб
Поддержка карт памяти: нет

Звук
Режим вывода звука: моно, 1 динамик
Поддержка 3.5 мм аудио входа: нет

Коммуникативные возможности
Поддержка Wi-Fi: Wi-Fi 802.11 a/b/g/n, dual-band
Поддержка Bluetooth: 5.3, A2DP, LE
Поддержка геопозиционирования: GPS (L1+L5), GLONASS, GALILEO, BDS
Поддержка NFC: есть
Поддержка USB: нет
Поддержка радио: нет

Датчики и сенсоры
Акселерометр, Барометр, датчик биоимпедансного анализа
Электрический датчик сердца, гироскоп, компас
Инфракрасный датчик температуры, датчик света
Оптический датчик сердечного ритма

Аккумулятор
Тип: литий-ионный, несъемный
Емкость аккумулятора: 590 мАч
Мощность беспроводной зарядки: 10 Вт
                            "
Смарт-часы Garmin Marq Commander Gen2 Carbon Edition,135010, 248160,0,Гарантия:,"

Основные характеристики
Тип: смарт-часы
Водонепроницаемость: 10 атм
Объем памяти: 32 Гб

Конструкция
Материал линзы: Sapphire Crystal
Материал безеля: углеродное волокно (карбон)
Материал корпуса: углеродное волокно (карбон)
Материал задней крышки: титан

Ремешок
Материал ремешка: нейлон (жаккардовое плетение)
Обхват ремешка: 135 - 205 мм

Дисплей
Тип матрицы: AMOLED 
Диаметр экрана: 1.2""
Разрешение: 390 x 390 px

Автономность
В режиме смартчасов: до 16 дней
В режиме экономии заряда: до 21 дней
В режиме только GPS: до 42 часов
В режиме все системы + музыка: до 10 часов

Размеры
Размеры: 46 х 46 х 15 мм
Вес без ремешка: 48 г
Вес с ремешком: 76 г
                            "
Смарт-часы Huawei Watch 4 Pro 49mm титановые,132004, 47080,0,Гарантия:,"

Основные характеристики
Тип: смарт-часы
Поддержка сети: LTE
Поддержка Sim-карт: eSIM

Операционная система
Операционная система: HarmonyOS 3.0

Память
Объем оперативной памяти: 2GB
Объем накопительной памяти: 32GB
Поддержка карт памяти: нет

Дисплей
Тип матрицы: LTPO AMOLED
Размер дисплея: 1.5"" 466x466 px
Плотность пикселей: 310 ppi

Аудио
Количество динамиков: 1
Поддержка аудио-разъема AUX 3.5 mm: нет

Коммуникативные возможности и интерфейсы
Поддержка Wi-Fi: 802.11 bgn
Поддержка Bluetooth: 5.2, A2DP, LE
Поддержка GPS: GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS
Поддержка NFC: есть

Питание
Тип аккумулятора: литий-ионный, несъемный
Поддержка беспроводной зарядки: есть
Время автономной работы в стандартном режиме: до 4.5 дней

Защищенность
Класс водонепроницаемости: 5 ATM

Конструкция
Материал безеля: титан
Материал браслета: титан
Обхват ремешка: 140-210 мм
Материал экрана: сапфировое стекло
Размеры: 48.8 х 47.6 х 12.9 мм
Вес: 65 г
                            "
Смарт-часы Apple Watch Ultra 2 + ремешок Ocean band оранжевый,127665, 64410,2,Гарантия:,"

Основные характеристики
Тип: смарт-часы
Поддержка сети: GSM / HSPA / LTE
Поддержка Sim-карт: eSIM

Операционная система
Операционная система: watch OS 10
Тип пользовательского интерфейса: Apple UI

Дисплей
Тип матрицы: Retina LTPO OLED
Размер дисплея: 1.92"" 502x410 px
Плотность пикселей: 338 ppi
Максимальная яркость: 3000 nit
Защита экрана: сапфировое стекло

Платформа 
Чипсет: Apple S9
Видеоконтроллер: PowerVR

Аппаратное обеспечение
Объем памяти: 64 GB
Поддержка карт памяти: нет

Аудио
Количество динамиков: 2
Поддержка аудио-разъема AUX 3.5 mm: нет
Максимальный объем звука: 86 дБ

Коммуникативные возможности и интерфейсы
Поддержка Wi-Fi: 802.11 bgn
Поддержка Bluetooth: v5.3, A2DP, LE
Поддержка GPS: GPS, GLONASS, GALILEO, BDS
Поддержка NFC: есть

Питание
Тип аккумулятора: литий-ионный, несъемный
Емкость аккумулятора: 564 mAh
Поддержка беспроводной зарядки: есть

Защищенность
Класс защищенности: IP6X
Класс водонепроницаемости: 100m

Конструкция
Материал рамки: титан
Материал экрана: сапфировое стекло
Размеры: 49 х 44 х 14.4 мм
Вес: 61.4 г
                            "
